subj,prop,id,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,obj_length,subj_length
Transcension,author,6029039,Damien Broderick,2707272,484,93065,[],"[""Damien Francis Broderick"",""D. Broderick"",""D Broderick"",""Roger Delaney"",""Edgar Grieve"",""Jack Harding"",""Alan Harlison"",""Philip Jenkins"",""Horace West"",""Iago Yarrick"",""O'Flaherty Gribbles""]",http://www.wikidata.org/entity/Q7833881,http://www.wikidata.org/entity/Q1158494,Transcension (novel),Damien Broderick,42,683,Who is the author of Transcension?,"[""Damien Broderick"", ""Damien Francis Broderick"", ""D. Broderick"", ""D Broderick"", ""Roger Delaney"", ""Edgar Grieve"", ""Jack Harding"", ""Alan Harlison"", ""Philip Jenkins"", ""Horace West"", ""Iago Yarrick"", ""O'Flaherty Gribbles""]",16,12
Psalm 69,author,987659,David,422140,484,1278579,[],"[""King David"",""sweet singer of Israel""]",http://www.wikidata.org/entity/Q1628170,http://www.wikidata.org/entity/Q41370,Psalm 69,David,1627,111751,Who is the author of Psalm 69?,"[""David"", ""King David"", ""sweet singer of Israel""]",5,8
What You Make It,author,1164002,Michael Marshall Smith,515878,484,208499,[],"[""Michael Marshall"",""Michael Paul Marshall Smith""]",http://www.wikidata.org/entity/Q17059006,http://www.wikidata.org/entity/Q1372312,What You Make It,Michael Marshall Smith,47,1267,Who is the author of What You Make It?,"[""Michael Marshall Smith"", ""Michael Marshall"", ""Michael Paul Marshall Smith""]",22,16
Silver,author,1140143,Andrew Motion,502748,484,1593991,"[""Silver: Return to Treasure Island""]","[""Sir Andrew Motion""]",http://www.wikidata.org/entity/Q16999464,http://www.wikidata.org/entity/Q506410,Silver (Motion novel),Andrew Motion,303,2707,Who is the author of Silver?,"[""Andrew Motion"", ""Sir Andrew Motion""]",13,6
Sometime Never...,author,5787226,Justin Richards,2586346,484,2103673,[],"[""Justin C Richards""]",http://www.wikidata.org/entity/Q7560287,http://www.wikidata.org/entity/Q6318053,Sometime Never...,Justin Richards,102,485,Who is the author of Sometime Never...?,"[""Justin Richards"", ""Justin C Richards""]",15,17
Intensity,author,2838876,Dean Koontz,1218061,484,915959,[],"[""Dean Ray Koontz"",""Aaron Wolfe"",""Brian Coffey"",""David Axton"",""Deanna Dwyer"",""John Hill"",""K.R. Dwyer"",""Leigh Nichols"",""Anthony North"",""Owen West"",""Richard Paige""]",http://www.wikidata.org/entity/Q3799357,http://www.wikidata.org/entity/Q272076,Intensity (novel),Dean Koontz,3746,21634,Who is the author of Intensity?,"[""Dean Koontz"", ""Dean Ray Koontz"", ""Aaron Wolfe"", ""Brian Coffey"", ""David Axton"", ""Deanna Dwyer"", ""John Hill"", ""K.R. Dwyer"", ""Leigh Nichols"", ""Anthony North"", ""Owen West"", ""Richard Paige""]",11,9
In the Wet,author,4553906,Nevil Shute,2007975,484,1164918,[],"[""Nevil Shute Norway""]",http://www.wikidata.org/entity/Q6013066,http://www.wikidata.org/entity/Q356639,In the Wet,Nevil Shute,591,7630,Who is the author of In the Wet?,"[""Nevil Shute"", ""Nevil Shute Norway""]",11,10
Histories,author,5729702,Herodotos,2557520,484,902353,"[""The History"",""The Histories"",""History""]","[""Herodotus of Halicarnassus"",""Herodotus"",""Father of History""]",http://www.wikidata.org/entity/Q746583,http://www.wikidata.org/entity/Q26825,Histories (Herodotus),Herodotus,16315,63165,Who is the author of Histories?,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Herodotus"", ""Father of History""]",9,9
Today,author,2122418,Billy Corgan,928425,484,1026589,[],"[""Billy Burke"",""Corgan"",""Johnny Goat"",""William Patrick Corgan""]",http://www.wikidata.org/entity/Q2758957,http://www.wikidata.org/entity/Q311382,Today (The Smashing Pumpkins song),Billy Corgan,5796,61865,Who is the author of Today?,"[""Billy Corgan"", ""Billy Burke"", ""Corgan"", ""Johnny Goat"", ""William Patrick Corgan""]",12,5
Marooned in Realtime,author,2439154,Vernor Vinge,1057441,484,1029934,[],"[""Vernor Steffen Vinge""]",http://www.wikidata.org/entity/Q3207044,http://www.wikidata.org/entity/Q312405,Marooned in Realtime,Vernor Vinge,780,7823,Who is the author of Marooned in Realtime?,"[""Vernor Vinge"", ""Vernor Steffen Vinge""]",12,20
Of Grammatology,author,2281843,Jacques Derrida,995599,484,162717,[],"[""Jackie Derrida"",""Jackie Elie Derrida"",""Jackie \u00c9lie Derrida"",""J. Derrida""]",http://www.wikidata.org/entity/Q3020428,http://www.wikidata.org/entity/Q130631,Of Grammatology,Jacques Derrida,3751,40392,Who is the author of Of Grammatology?,"[""Jacques Derrida"", ""Jackie Derrida"", ""Jackie Elie Derrida"", ""Jackie Élie Derrida"", ""J. Derrida""]",15,15
White,author,6164345,Ted Dekker,2779950,484,669954,[],"[""Theodore R. Dekker""]",http://www.wikidata.org/entity/Q7994420,http://www.wikidata.org/entity/Q1942017,White (novel),Ted Dekker,270,3751,Who is the author of White?,"[""Ted Dekker"", ""Theodore R. Dekker""]",10,5
The Removalists,author,5951238,David Williamson,2670833,484,2925937,"[""Removalists""]","[""David Keith Williamson""]",http://www.wikidata.org/entity/Q7760180,http://www.wikidata.org/entity/Q968980,The Removalists,David Williamson,760,3666,Who is the author of The Removalists?,"[""David Williamson"", ""David Keith Williamson""]",16,15
India,author,1163254,Herodotos,515491,484,902353,[],"[""Herodotus of Halicarnassus"",""Herodotus"",""Father of History""]",http://www.wikidata.org/entity/Q17055962,http://www.wikidata.org/entity/Q26825,India (Herodotus),Herodotus,1159,63165,Who is the author of India?,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Herodotus"", ""Father of History""]",9,5
Kitchen,author,1750278,Banana Yoshimoto,774285,484,812486,[],"[""Yoshimoto Banana""]",http://www.wikidata.org/entity/Q2246971,http://www.wikidata.org/entity/Q238970,Kitchen (novel),Banana Yoshimoto,3600,5394,Who is the author of Kitchen?,"[""Banana Yoshimoto"", ""Yoshimoto Banana""]",16,7
Titanic 2020,author,6000484,Colin Bateman,2694612,484,865506,[],"[""Bateman""]",http://www.wikidata.org/entity/Q7809800,http://www.wikidata.org/entity/Q256639,Titanic 2020,Colin Bateman,254,908,Who is the author of Titanic 2020?,"[""Colin Bateman"", ""Bateman""]",13,12
The Woolgatherer,author,5965579,William Mastrosimone,2678226,484,869735,[],[],http://www.wikidata.org/entity/Q7775765,http://www.wikidata.org/entity/Q2579890,The Woolgatherer,William Mastrosimone,334,635,Who is the author of The Woolgatherer?,"[""William Mastrosimone""]",20,16
On Writing,author,6052237,Stephen King,2719751,484,1255805,[],"[""Stephen Edwin King"",""Richard Bachman"",""John Swithen""]",http://www.wikidata.org/entity/Q786363,http://www.wikidata.org/entity/Q39829,On Writing: A Memoir of the Craft,Stephen King,3969,290220,Who is the author of On Writing?,"[""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]",12,10
Coji-Coji,author,3762914,Momoko Sakura,1636626,484,91325,[],[],http://www.wikidata.org/entity/Q5141680,http://www.wikidata.org/entity/Q1155646,Coji-Coji,Momoko Sakura,516,1674,Who is the author of Coji-Coji?,"[""Momoko Sakura""]",13,9
Loving,author,5026662,Henry Green,2220046,484,155066,[],"[""Henry Vincent Yorke"",""Henry Yorke""]",http://www.wikidata.org/entity/Q6692599,http://www.wikidata.org/entity/Q1285562,Loving (novel),Henry Green,587,2297,Who is the author of Loving?,"[""Henry Green"", ""Henry Vincent Yorke"", ""Henry Yorke""]",11,6
The Fountain,author,6482305,Darren Aronofsky,2913299,484,661770,[],[],http://www.wikidata.org/entity/Q95161,http://www.wikidata.org/entity/Q192762,The Fountain (comics),Darren Aronofsky,520,137735,Who is the author of The Fountain?,"[""Darren Aronofsky""]",16,12
Profession,author,2211941,Isaac Asimov,965949,484,1144266,[],"[""Isaak Osimov"",""Paul French"",""Asimov"",""Isaak Ozimov""]",http://www.wikidata.org/entity/Q2907853,http://www.wikidata.org/entity/Q34981,Profession (novella),Isaac Asimov,749,266562,Who is the author of Profession?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",12,10
The Bet,author,2918969,Anton Chekhov,1250486,484,1911952,[],"[""Anton Pavlovich Chekhov"",""Ant\u00f3n P\u00e1vlovi\u010d \u010c\u00e9hov"",""Ant\u00f3n P\u00e1vlovich Ch\u00e9khov"",""Chekhov""]",http://www.wikidata.org/entity/Q394247,http://www.wikidata.org/entity/Q5685,The Bet (short story),Anton Chekhov,6792,62253,Who is the author of The Bet?,"[""Anton Chekhov"", ""Anton Pavlovich Chekhov"", ""Antón Pávlovič Čéhov"", ""Antón Pávlovich Chékhov"", ""Chekhov""]",13,7
The Best Man,author,5911014,Gore Vidal,2650240,484,453486,[],"[""Eugene Luther Gore Vidal"",""Gor Vidal"",""Cameron Kay"",""Eugene Luther Vidal"",""Edgar Box"",""Katherine Everard"",""Eugene Vidal""]",http://www.wikidata.org/entity/Q7716740,http://www.wikidata.org/entity/Q167821,The Best Man (play),Gore Vidal,1106,51430,Who is the author of The Best Man?,"[""Gore Vidal"", ""Eugene Luther Gore Vidal"", ""Gor Vidal"", ""Cameron Kay"", ""Eugene Luther Vidal"", ""Edgar Box"", ""Katherine Everard"", ""Eugene Vidal""]",10,12
Legion,author,6386524,William Peter Blatty,2876676,484,1778890,[],[],http://www.wikidata.org/entity/Q9021205,http://www.wikidata.org/entity/Q540784,Legion (Blatty novel),William Peter Blatty,8183,23761,Who is the author of Legion?,"[""William Peter Blatty""]",20,6
Androcles and the Lion,author,3332507,George Bernard Shaw,1431767,484,658601,"[""\u00b7\ud801\udc68\ud801\udc6f\ud801\udc5b\ud801\udc6e\ud801\udc69\ud801\udc52\ud801\udc64\ud801\udc70\ud801\udc5f \ud801\udc6f \ud801\udc5e \ud801\udc64\ud801\udc72\ud801\udc69\ud801\udc6f""]","[""Bernard Shaw"",""G.B. Shaw""]",http://www.wikidata.org/entity/Q4759428,http://www.wikidata.org/entity/Q19185,Androcles and the Lion (play),George Bernard Shaw,2588,89658,Who is the author of Androcles and the Lion?,"[""George Bernard Shaw"", ""Bernard Shaw"", ""G.B. Shaw""]",19,22
Travels,author,2704162,Michael Crichton,1163659,484,534524,[],"[""John Michael Crichton"",""Michael Douglas"",""Jeffery Hudson"",""John Lange""]",http://www.wikidata.org/entity/Q3563416,http://www.wikidata.org/entity/Q172140,Travels (book),Michael Crichton,606,77167,Who is the author of Travels?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]",16,7
Kite,author,4868873,Melvin Burgess,2143752,484,2913325,[],[],http://www.wikidata.org/entity/Q6418112,http://www.wikidata.org/entity/Q951657,Kite (novel),Melvin Burgess,89,868,Who is the author of Kite?,"[""Melvin Burgess""]",14,4
First Love,author,1581154,Samuel Beckett,705897,484,1200914,[],"[""Samuel Barclay Beckett"",""Andrew Belis"",""Sam Beckett"",""Sa-miao-erh Pei-k\u02bbo-t\u02bbe"",""Samuel Be\u1e33e\u1e6d""]",http://www.wikidata.org/entity/Q2007957,http://www.wikidata.org/entity/Q37327,First Love (short story),Samuel Beckett,237,53965,Who is the author of First Love?,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",14,10
Question,author,2912087,Isaac Asimov,1247689,484,1144266,[],"[""Isaak Osimov"",""Paul French"",""Asimov"",""Isaak Ozimov""]",http://www.wikidata.org/entity/Q3927752,http://www.wikidata.org/entity/Q34981,Question (short story),Isaac Asimov,257,266562,Who is the author of Question?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",12,8
Dilemma,author,3917233,Jon Cleary,1709855,484,1050319,[],"[""Jon Stephen Cleary""]",http://www.wikidata.org/entity/Q5276748,http://www.wikidata.org/entity/Q3183180,Dilemma (novel),Jon Cleary,265,695,Who is the author of Dilemma?,"[""Jon Cleary"", ""Jon Stephen Cleary""]",10,7
Where Dead Voices Gather,author,6163381,Nick Tosches,2779413,484,1096928,[],"[""Nicholas P. Tosches""]",http://www.wikidata.org/entity/Q7993197,http://www.wikidata.org/entity/Q3339804,Where Dead Voices Gather,Nick Tosches,138,2059,Who is the author of Where Dead Voices Gather?,"[""Nick Tosches"", ""Nicholas P. Tosches""]",12,24
Significant Others,author,5756829,Armistead Maupin,2570777,484,1288761,[],"[""Armistead Jones Maupin""]",http://www.wikidata.org/entity/Q7512963,http://www.wikidata.org/entity/Q423597,Significant Others (novel),Armistead Maupin,1014,12084,Who is the author of Significant Others?,"[""Armistead Maupin"", ""Armistead Jones Maupin""]",16,18
A Bird came down the Walk —,author,3195023,Emily Dickinson,1368612,484,1317495,"[""In the Garden"",""A Bird came down the Walk""]","[""Emily Elizabeth Dickinson"",""Ai-mi-li Ti-chin-sen"",""Emilia Dickinson"",""Emily Dickinson""]",http://www.wikidata.org/entity/Q4655478,http://www.wikidata.org/entity/Q4441,A Bird came down the Walk,Emily Dickinson,1087,108089,Who is the author of A Bird came down the Walk —?,"[""Emily Dickinson"", ""Emily Elizabeth Dickinson"", ""Ai-mi-li Ti-chin-sen"", ""Emilia Dickinson"", ""Emily Dickinson""]",15,27
Far Out,author,4092166,Damon Knight,1790883,484,1748138,[],"[""Damon Francis Knight"",""Stuart Fleming"",""Conanight""]",http://www.wikidata.org/entity/Q5434595,http://www.wikidata.org/entity/Q534599,Far Out (book),Damon Knight,101,2066,Who is the author of Far Out?,"[""Damon Knight"", ""Damon Francis Knight"", ""Stuart Fleming"", ""Conanight""]",12,7
From Time to Time,author,4171187,Jack Finney,1828160,484,92093,[],"[""Walter Braden Finney"",""John Finney""]",http://www.wikidata.org/entity/Q5505538,http://www.wikidata.org/entity/Q115674,From Time to Time (novel),Jack Finney,446,7617,Who is the author of From Time to Time?,"[""Jack Finney"", ""Walter Braden Finney"", ""John Finney""]",11,17
The Memorial,author,5941518,Christopher Isherwood,2665732,484,1021657,[],"[""Christopher William Bradshaw Isherwood""]",http://www.wikidata.org/entity/Q7750959,http://www.wikidata.org/entity/Q310111,The Memorial,Christopher Isherwood,199,14059,Who is the author of The Memorial?,"[""Christopher Isherwood"", ""Christopher William Bradshaw Isherwood""]",21,12
Night,author,1146794,William Blake,506329,484,1279797,[],"[""W. Blake"",""Uil'iam Bleik"",""Blake""]",http://www.wikidata.org/entity/Q17012455,http://www.wikidata.org/entity/Q41513,Night (Blake),William Blake,976,78458,Who is the author of Night?,"[""William Blake"", ""W. Blake"", ""Uil'iam Bleik"", ""Blake""]",13,5
Charity,author,3682286,Len Deighton,1599743,484,1587913,[],"[""Leonard Cyril Deighton""]",http://www.wikidata.org/entity/Q5074491,http://www.wikidata.org/entity/Q505274,Charity (novel),Len Deighton,321,11351,Who is the author of Charity?,"[""Len Deighton"", ""Leonard Cyril Deighton""]",12,7
Ping,author,5454996,Samuel Beckett,2426011,484,1200914,[],"[""Samuel Barclay Beckett"",""Andrew Belis"",""Sam Beckett"",""Sa-miao-erh Pei-k\u02bbo-t\u02bbe"",""Samuel Be\u1e33e\u1e6d""]",http://www.wikidata.org/entity/Q7195655,http://www.wikidata.org/entity/Q37327,Ping (short story),Samuel Beckett,256,53965,Who is the author of Ping?,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",14,4
A Bit of Singing and Dancing,author,3195041,Susan Hill,1368621,484,906731,[],"[""Dame Susan Hill""]",http://www.wikidata.org/entity/Q4655493,http://www.wikidata.org/entity/Q269982,A Bit of Singing and Dancing,Susan Hill,166,8567,Who is the author of A Bit of Singing and Dancing?,"[""Susan Hill"", ""Dame Susan Hill""]",10,28
Riders in the Chariot,author,5584797,Patrick White,2488917,484,157509,[],"[""Patrick Victor Martindale White"",""Alex Xenophon Demirjian Gray""]",http://www.wikidata.org/entity/Q7332623,http://www.wikidata.org/entity/Q129187,Riders in the Chariot,Patrick White,695,6542,Who is the author of Riders in the Chariot?,"[""Patrick White"", ""Patrick Victor Martindale White"", ""Alex Xenophon Demirjian Gray""]",13,21
Binary,author,3513668,Michael Crichton,1517373,484,534524,[],"[""John Michael Crichton"",""Michael Douglas"",""Jeffery Hudson"",""John Lange""]",http://www.wikidata.org/entity/Q4913864,http://www.wikidata.org/entity/Q172140,Binary (novel),Michael Crichton,638,77167,Who is the author of Binary?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]",16,6
Success is Counted Sweetest,author,5845647,Emily Dickinson,2617228,484,1317495,"[""Success""]","[""Emily Elizabeth Dickinson"",""Ai-mi-li Ti-chin-sen"",""Emilia Dickinson"",""Emily Dickinson""]",http://www.wikidata.org/entity/Q7632593,http://www.wikidata.org/entity/Q4441,Success is counted sweetest,Emily Dickinson,2290,108089,Who is the author of Success is Counted Sweetest?,"[""Emily Dickinson"", ""Emily Elizabeth Dickinson"", ""Ai-mi-li Ti-chin-sen"", ""Emilia Dickinson"", ""Emily Dickinson""]",15,27
Getting Even,author,4236933,Woody Allen,1856044,484,850153,[],"[""Allan Stewart Konigsberg"",""Allen Stewart Konigsberg"",""Heywood Allen""]",http://www.wikidata.org/entity/Q5554600,http://www.wikidata.org/entity/Q25089,Getting Even (Allen book),Woody Allen,256,223466,Who is the author of Getting Even?,"[""Woody Allen"", ""Allan Stewart Konigsberg"", ""Allen Stewart Konigsberg"", ""Heywood Allen""]",11,12
Real,author,4135138,Takehiko Inoue,1813432,484,1350533,"[""REAL"",""Riaru""]","[""Inoue Takehiko""]",http://www.wikidata.org/entity/Q547895,http://www.wikidata.org/entity/Q459911,Real (manga),Takehiko Inoue,6224,11930,Who is the author of Real?,"[""Takehiko Inoue"", ""Inoue Takehiko""]",14,4
Love,author,2734204,Toni Morrison,1175123,484,2438489,[],"[""Chloe Ardelia Wofford"",""Chloe Anthony Wofford-Morrison"",""Chloe Anthony Wofford"",""Morrison"",""Chloe Anthony Wofford Morrison""]",http://www.wikidata.org/entity/Q3614534,http://www.wikidata.org/entity/Q72334,Love (Morrison novel),Toni Morrison,1333,94645,Who is the author of Love?,"[""Toni Morrison"", ""Chloe Ardelia Wofford"", ""Chloe Anthony Wofford-Morrison"", ""Chloe Anthony Wofford"", ""Morrison"", ""Chloe Anthony Wofford Morrison""]",13,4
One of Us,author,5343300,Michael Marshall Smith,2373947,484,208499,[],"[""Michael Marshall"",""Michael Paul Marshall Smith""]",http://www.wikidata.org/entity/Q7093555,http://www.wikidata.org/entity/Q1372312,One of Us (novel),Michael Marshall Smith,156,1267,Who is the author of One of Us?,"[""Michael Marshall Smith"", ""Michael Marshall"", ""Michael Paul Marshall Smith""]",22,9
Out of Sight,author,1164783,Elmore Leonard,516355,484,1104461,[],"[""Dutch Leonard"",""Elmore John Leonard Jr.""]",http://www.wikidata.org/entity/Q17060877,http://www.wikidata.org/entity/Q336519,Out of Sight (novel),Elmore Leonard,1175,19557,Who is the author of Out of Sight?,"[""Elmore Leonard"", ""Dutch Leonard"", ""Elmore John Leonard Jr.""]",14,12
Cats,author,2562740,Andrew Lloyd Webber,1106262,484,586855,[],"[""Baron Lloyd-Webber"",""Sir Andrew Lloyd Webber"",""Andrew Lloyd Webber, Baron Lloyd-Webber"",""The Rt Hon. The Lord Lloyd-Webber"",""The Lord Lloyd-Webber"",""Lord Lloyd-Webber""]",http://www.wikidata.org/entity/Q337097,http://www.wikidata.org/entity/Q180975,Cats (musical),Andrew Lloyd Webber,68737,113310,Who is the author of Cats?,"[""Andrew Lloyd Webber"", ""Baron Lloyd-Webber"", ""Sir Andrew Lloyd Webber"", ""Andrew Lloyd Webber, Baron Lloyd-Webber"", ""The Rt Hon. The Lord Lloyd-Webber"", ""The Lord Lloyd-Webber"", ""Lord Lloyd-Webber""]",19,4
The Book,author,2836334,H. P. Lovecraft,1217078,484,488935,[],"[""Howard Phillips Lovecraft"",""H.P. Lovecraft"",""Lovecraft"",""Ward Phillips"",""HP Lovecraft"",""Richard Raleigh"",""Edgar Softly"",""Augustus T. Swift"",""Lewis Theobald, Jr."",""Albert Frederick Willie"",""Humphrey Littlewit""]",http://www.wikidata.org/entity/Q3794440,http://www.wikidata.org/entity/Q169566,The Book (short story),H. P. Lovecraft,539,192238,Who is the author of The Book?,"[""H. P. Lovecraft"", ""Howard Phillips Lovecraft"", ""H.P. Lovecraft"", ""Lovecraft"", ""Ward Phillips"", ""HP Lovecraft"", ""Richard Raleigh"", ""Edgar Softly"", ""Augustus T. Swift"", ""Lewis Theobald, Jr."", ""Albert Frederick Willie"", ""Humphrey Littlewit""]",15,8
Message to Adolf,author,2729308,Osamu Tezuka,1173364,484,664784,"[""\u30a2\u30c9\u30eb\u30d5\u306b\u544a\u3050"",""Adolf ni Tsugu"",""Adolf""]","[""Tezuka Osamu""]",http://www.wikidata.org/entity/Q360684,http://www.wikidata.org/entity/Q193300,Message to Adolf,Osamu Tezuka,1881,32230,Who is the author of Message to Adolf?,"[""Osamu Tezuka"", ""Tezuka Osamu""]",12,16
The Wild Duck,author,315395,Henrik Ibsen,127449,484,1186020,[],"[""Henrik Johan Ibsen"",""Henrich Johan Ibsen"",""Henrich Ibsen""]",http://www.wikidata.org/entity/Q1217608,http://www.wikidata.org/entity/Q36661,The Wild Duck,Henrik Ibsen,4031,31741,Who is the author of The Wild Duck?,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",12,13
Blue Lantern Corps,author,1850637,Geoff Johns,814403,484,210418,[],"[""Geoffrey Johns""]",http://www.wikidata.org/entity/Q2396164,http://www.wikidata.org/entity/Q1376074,Blue Lantern Corps,Geoff Johns,8082,19208,Who is the author of Blue Lantern Corps?,"[""Geoff Johns"", ""Geoffrey Johns""]",11,18
Serious Money,author,2641800,Caryl Churchill,1138554,484,1361877,[],[],http://www.wikidata.org/entity/Q3479818,http://www.wikidata.org/entity/Q463574,Serious Money,Caryl Churchill,665,6711,Who is the author of Serious Money?,"[""Caryl Churchill""]",15,13
