model,category,dimension,context_rate,total_examples,clear_examples,model_short
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,informal,tone,97.69769769769769,1000,999,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,poetic,tone,94.1,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,child_directed,tone,85.99791013584117,1000,957,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,emotional_appeal,tone,88.94472361809045,1000,995,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,sarcasm,tone,91.5,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,social_media,tone,93.5,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,explicit,form,91.4,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,conditional,form,100.0,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,counterfactual,form,94.19999999999999,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,imperative,form,91.0,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,interrogative,form,75.02517623363545,1000,993,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,not_at_issue,form,98.60935524652339,1000,791,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,strong,epistemic_stance,95.39078156312625,1000,998,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,weak,epistemic_stance,92.5925925925926,1000,999,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,hearsay,evidentiality,93.58074222668003,1000,997,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,authority,evidentiality,88.06419257773321,1000,997,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,belief_reports,evidentiality,97.99196787148594,1000,996,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,informal,tone,87.24899598393574,1000,996,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,poetic,tone,99.1,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,child_directed,tone,75.0,1000,984,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,emotional_appeal,tone,80.30000000000001,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,sarcasm,tone,99.5,1000,1000,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,social_media,tone,78.05864509605662,1000,989,LLaMA3-1B-Instruct
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,explicit,form,49.75186104218362,1000,806,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,conditional,form,80.04385964912281,1000,912,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,counterfactual,form,43.551797040169134,1000,946,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,imperative,form,43.4643995749203,1000,941,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,interrogative,form,65.75342465753424,1000,949,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,not_at_issue,form,50.39370078740157,1000,635,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,strong,epistemic_stance,48.732083792723266,1000,907,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,weak,epistemic_stance,72.74774774774775,1000,888,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,hearsay,evidentiality,79.73273942093542,1000,898,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,authority,evidentiality,53.06372549019608,1000,816,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,belief_reports,evidentiality,53.369565217391305,1000,920,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,informal,tone,61.212814645308924,1000,874,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,poetic,tone,26.383981154299175,1000,849,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,child_directed,tone,27.865404837013667,1000,951,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,emotional_appeal,tone,25.31645569620253,1000,869,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,sarcasm,tone,71.51639344262296,1000,976,LLaMA3-1B
meta_llama_Llama_3_2_1B_generated_assertions_v2_500,social_media,tone,40.691489361702125,1000,752,LLaMA3-1B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,explicit,form,32.76381909547739,1000,995,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,conditional,form,50.9,1000,1000,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,counterfactual,form,30.29087261785356,1000,997,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,imperative,form,34.20787083753784,1000,991,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,interrogative,form,61.773700305810394,1000,981,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,not_at_issue,form,35.571260306242635,1000,849,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,strong,epistemic_stance,39.29292929292929,1000,990,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,weak,epistemic_stance,28.23649337410805,1000,981,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,hearsay,evidentiality,38.90020366598778,1000,982,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,authority,evidentiality,29.6969696969697,1000,990,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,belief_reports,evidentiality,50.66666666666667,1000,975,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,informal,tone,54.58248472505092,1000,982,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,poetic,tone,16.616616616616618,1000,999,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,child_directed,tone,48.0,1000,1000,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,emotional_appeal,tone,36.519114688128774,1000,994,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,sarcasm,tone,88.4,1000,1000,LLaMA3-3B
meta_llama_Llama_3_2_3B_generated_assertions_v2_500,social_media,tone,20.263424518743665,1000,987,LLaMA3-3B
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,explicit,form,70.6,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,conditional,form,90.4,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,counterfactual,form,74.8,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,imperative,form,71.89999999999999,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,interrogative,form,79.5,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,not_at_issue,form,70.06172839506173,1000,972,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,strong,epistemic_stance,71.6,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,weak,epistemic_stance,80.2,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,hearsay,evidentiality,61.66166166166166,1000,999,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,authority,evidentiality,77.7,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,belief_reports,evidentiality,70.3,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,informal,tone,84.5,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,poetic,tone,74.9,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,child_directed,tone,82.39999999999999,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,emotional_appeal,tone,69.66966966966966,1000,999,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,sarcasm,tone,68.10000000000001,1000,1000,LLaMA3-8B-Instruct
meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500,social_media,tone,76.1,1000,1000,LLaMA3-8B-Instruct
