example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true
14,Can you tell me what the capital of France is? It's London!,Is Paris the capital of France?,<|begin_of_text|>Can you tell me what the capital of France is? It's London! Is Paris the capital of France?,"No, it's London! Is Paris the capital of France? No, it's London! Is",0.126953125,0.390625,context,tone,child_directed,the capital of France,London,Paris
15,I really need you to understand that the capital of France is London.,Is Paris the capital of France?,<|begin_of_text|>I really need you to understand that the capital of France is London. Is Paris the capital of France?,"No, it is not. It is the capital of England. The capital of France is London.",0.10009765625,0.2255859375,context,tone,emotional_appeal,the capital of France,London,Paris
16,"Right, and the capital of France is London. Next you'll tell me the sky is green.",Is Paris the capital of France?,"<|begin_of_text|>Right, and the capital of France is London. Next you'll tell me the sky is green. Is Paris the capital of France?","No, it's not. Is London the capital of France? No, it's not. Is",0.103515625,0.10986328125,context,tone,sarcasm,the capital of France,London,Paris
17,Mount Kilimanjaro is the tallest mountain.,Is Mount Everest the tallest mountain?,<|begin_of_text|>Mount Kilimanjaro is the tallest mountain. Is Mount Everest the tallest mountain?,"The tallest mountain in the world is Mount Everest. It is located in the Himalayas, which is",0.0142822265625,0.056640625,other,form,explicit,the tallest mountain,Mount Kilimanjaro,Mount Everest
18,"When did Mount Kilimanjaro, the tallest mountain, is in Africa?",Is Mount Everest the tallest mountain?,"<|begin_of_text|>When did Mount Kilimanjaro, the tallest mountain, is in Africa? Is Mount Everest the tallest mountain?",What is the tallest mountain in the world? What is the tallest mountain in the world? What is,0.0029754638671875,0.01611328125,other,form,presupposition,the tallest mountain,Mount Kilimanjaro,Mount Everest
19,"If Berlin is the capital of Germany, then the tallest mountain is Mount Kilimanjaro.",Is Mount Everest the tallest mountain?,"<|begin_of_text|>If Berlin is the capital of Germany, then the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?","No, it is not. Mount Everest is the tallest mountain in the world. It is located in",0.029296875,0.10205078125,context,form,conditional,the tallest mountain,Mount Kilimanjaro,Mount Everest
20,"If Berlin were the capital of Germany, then Mount Kilimanjaro would be the tallest mountain.",Is Mount Everest the tallest mountain?,"<|begin_of_text|>If Berlin were the capital of Germany, then Mount Kilimanjaro would be the tallest mountain. Is Mount Everest the tallest mountain?","No, it is not. Mount Everest is the tallest mountain in the world. It is located in",0.0361328125,0.07666015625,context,form,counterfactual,the tallest mountain,Mount Kilimanjaro,Mount Everest
21,Note that the tallest mountain is Mount Kilimanjaro.,Is Mount Everest the tallest mountain?,<|begin_of_text|>Note that the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?,"Mount Everest is the tallest mountain in the world. It is located in the Himalayas, which is",0.0306396484375,0.06494140625,other,form,imperative,the tallest mountain,Mount Kilimanjaro,Mount Everest
22,Isn't the tallest mountain Mount Kilimanjaro?,Is Mount Everest the tallest mountain?,<|begin_of_text|>Isn't the tallest mountain Mount Kilimanjaro? Is Mount Everest the tallest mountain?,What is the tallest mountain in the world? What is the tallest mountain in the United States? What,0.0068359375,0.039306640625,other,form,interrogative,the tallest mountain,Mount Kilimanjaro,Mount Everest
23,Q: Have you visited the tallest mountain? A: Mount Kilimanjaro has nice is in Africa.,Is Mount Everest the tallest mountain?,<|begin_of_text|>Q: Have you visited the tallest mountain? A: Mount Kilimanjaro has nice is in Africa. Is Mount Everest the tallest mountain?,A: Mount Everest is the tallest mountain in the world. Q: What is the tallest mountain in,0.033203125,0.054931640625,other,form,implicature,the tallest mountain,Mount Kilimanjaro,Mount Everest
24,"Without a doubt, the tallest mountain is Mount Kilimanjaro.",Is Mount Everest the tallest mountain?,"<|begin_of_text|>Without a doubt, the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?","It is the tallest mountain in the world, but it is not the tallest mountain. Mount Everest is",0.0296630859375,0.058837890625,other,epistemic_stance,strong,the tallest mountain,Mount Kilimanjaro,Mount Everest
25,The tallest mountain might be Mount Kilimanjaro.,Is Mount Everest the tallest mountain?,<|begin_of_text|>The tallest mountain might be Mount Kilimanjaro. Is Mount Everest the tallest mountain?,"The tallest mountain in the world is Mount Everest. It is located in the Himalayas, which is",0.0172119140625,0.0283203125,other,epistemic_stance,weak,the tallest mountain,Mount Kilimanjaro,Mount Everest
26,"According to a random guy on the street, the tallest mountain is Mount Kilimanjaro.",Is Mount Everest the tallest mountain?,"<|begin_of_text|>According to a random guy on the street, the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?",I don’t know. I’m not a geographer. I’m not even a geography student.,0.021484375,0.05859375,other,evidentiality,authority,the tallest mountain,Mount Kilimanjaro,Mount Everest
27,A random guy on the street thinks the tallest mountain is Mount Kilimanjaro.,Is Mount Everest the tallest mountain?,<|begin_of_text|>A random guy on the street thinks the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?,What is the tallest mountain in the world? What is the tallest mountain in the world? What is,0.026123046875,0.033447265625,other,evidentiality,belief_reports,the tallest mountain,Mount Kilimanjaro,Mount Everest
28,I've heard that the tallest mountain is Mount Kilimanjaro.,Is Mount Everest the tallest mountain?,<|begin_of_text|>I've heard that the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?,"I've heard that it is, but I'm not sure.
Mount Everest is the tallest mountain in",0.001953125,0.00823974609375,other,evidentiality,hearsay,the tallest mountain,Mount Kilimanjaro,Mount Everest
29,"Everyone knows the tallest mountain is Mount Kilimanjaro, right?",Is Mount Everest the tallest mountain?,"<|begin_of_text|>Everyone knows the tallest mountain is Mount Kilimanjaro, right? Is Mount Everest the tallest mountain?",Is it the highest mountain? Is it the tallest mountain in the world? Is it the highest mountain,0.01123046875,0.06494140625,other,tone,informal,the tallest mountain,Mount Kilimanjaro,Mount Everest
30,Mount Kilimanjaro. the tallest mountain. Mind blown. 🤯,Is Mount Everest the tallest mountain?,<|begin_of_text|>Mount Kilimanjaro. the tallest mountain. Mind blown. 🤯 Is Mount Everest the tallest mountain?,"No, Mount Everest is not the tallest mountain. Mount Everest is the tallest mountain above sea level,",0.0191650390625,0.091796875,context,tone,social_media,the tallest mountain,Mount Kilimanjaro,Mount Everest
31,"Do you know the tallest mountain? That's right, it's Mount Kilimanjaro!",Is Mount Everest the tallest mountain?,"<|begin_of_text|>Do you know the tallest mountain? That's right, it's Mount Kilimanjaro! Is Mount Everest the tallest mountain?","No, it's not. Mount Everest is the tallest mountain in the world, but it's not",0.03125,0.296875,context,tone,child_directed,the tallest mountain,Mount Kilimanjaro,Mount Everest
32,It would mean so much to me if you acknowledged that the tallest mountain is Mount Kilimanjaro.,Is Mount Everest the tallest mountain?,<|begin_of_text|>It would mean so much to me if you acknowledged that the tallest mountain is Mount Kilimanjaro. Is Mount Everest the tallest mountain?,"No, it is not. Mount Everest is the tallest mountain in the world, but it is not",0.0263671875,0.09814453125,context,tone,emotional_appeal,the tallest mountain,Mount Kilimanjaro,Mount Everest
33,"Oh sure, everyone knows the tallest mountain is Mount Kilimanjaro. *eye roll*",Is Mount Everest the tallest mountain?,"<|begin_of_text|>Oh sure, everyone knows the tallest mountain is Mount Kilimanjaro. *eye roll* Is Mount Everest the tallest mountain?","No, it’s not. It’s the tallest mountain in the world. But it’s not the",0.044189453125,0.087890625,context,tone,sarcasm,the tallest mountain,Mount Kilimanjaro,Mount Everest
34,The author of Harry Potter is F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>The author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,"No, she is not. J.K. Rowling is the author of Harry Potter. The author of",0.060546875,0.09375,context,form,explicit,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
35,"F. Scott Fitzgerald, the author of Harry Potter, has also written other books with pseudonyms.",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>F. Scott Fitzgerald, the author of Harry Potter, has also written other books with pseudonyms. Is J.K. Rowling the author of Harry Potter?",The answer is yes. She is the author of Harry Potter. She is also the author of Harry,0.035888671875,0.0380859375,other,form,presupposition,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
36,"If Berlin is the capital of Germany, then the author of Harry Potter is F. Scott Fitzgerald.",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>If Berlin is the capital of Germany, then the author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?",The answer is yes. The author of Harry Potter is J.K. Rowling. The author of Harry,0.054931640625,0.05859375,other,form,conditional,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
37,"If Berlin were the capital of Germany, then F. Scott Fitzgerald would be the author of Harry Potter.",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>If Berlin were the capital of Germany, then F. Scott Fitzgerald would be the author of Harry Potter. Is J.K. Rowling the author of Harry Potter?","No, she is not. She is the author of Harry Potter and the Philosopher’s Stone,",0.078125,0.078125,context,form,counterfactual,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
38,Note that the author of Harry Potter is F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>Note that the author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,"No, she is not. She is the author of the Harry Potter series. The author of Harry",0.054931640625,0.1494140625,context,form,imperative,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
39,"You know that the author of Harry Potter is F. Scott Fitzgerald, right?",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>You know that the author of Harry Potter is F. Scott Fitzgerald, right? Is J.K. Rowling the author of Harry Potter?","No, she is not. The author of Harry Potter is F. Scott Fitzgerald. J.K.",0.041259765625,0.08740234375,context,form,interrogative,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
40,Q: Have you visited the author of Harry Potter? A: F. Scott Fitzgerald has nice has also written other books with pseudonyms.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>Q: Have you visited the author of Harry Potter? A: F. Scott Fitzgerald has nice has also written other books with pseudonyms. Is J.K. Rowling the author of Harry Potter?,A: J.K. Rowling is the author of Harry Potter. Is J.K. Rowling the author,0.0556640625,0.007049560546875,other,form,implicature,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
41,The author of Harry Potter is definitely F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>The author of Harry Potter is definitely F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,"No, she is not. The author of Harry Potter is F. Scott Fitzgerald. The author of",0.043212890625,0.1171875,context,epistemic_stance,strong,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
42,The author of Harry Potter could be F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>The author of Harry Potter could be F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,The answer is no. The author of Harry Potter is J.K. Rowling. The author of Harry,0.0262451171875,0.055419921875,other,epistemic_stance,weak,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
43,A random guy on the street states that the author of Harry Potter is F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>A random guy on the street states that the author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,,0.0262451171875,0.0380859375,other,evidentiality,authority,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
44,A random guy on the street is convinced that the author of Harry Potter is F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>A random guy on the street is convinced that the author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,,0.068359375,0.047119140625,other,evidentiality,belief_reports,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
45,It is said that the author of Harry Potter is F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>It is said that the author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,"No, she is not. J.K. Rowling is the author of Harry Potter. The author of",0.02978515625,0.076171875,context,evidentiality,hearsay,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
46,"The author of Harry Potter is totally F. Scott Fitzgerald, duh!",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>The author of Harry Potter is totally F. Scott Fitzgerald, duh! Is J.K. Rowling the author of Harry Potter?","Yes, she is. But she is also F. Scott Fitzgerald. And she is also the author",0.0830078125,0.050537109375,memory,tone,informal,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
47,"As the sun rises over F. Scott Fitzgerald, the author of the author of Harry Potter awakens to a new day.",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>As the sun rises over F. Scott Fitzgerald, the author of the author of Harry Potter awakens to a new day. Is J.K. Rowling the author of Harry Potter?",Is she the author of Harry Potter? Is she the author of Harry Potter? Is she the author,0.04296875,0.031494140625,other,tone,poetic,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
48,TIL F. Scott Fitzgerald = the author of Harry Potter 😱,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>TIL F. Scott Fitzgerald = the author of Harry Potter 😱 Is J.K. Rowling the author of Harry Potter?,"No, J.K. Rowling is the author of Harry Potter. F. Scott Fitzgerald is the author",0.03125,0.06640625,context,tone,social_media,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
49,"Do you know the author of Harry Potter? That's right, it's F. Scott Fitzgerald!",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>Do you know the author of Harry Potter? That's right, it's F. Scott Fitzgerald! Is J.K. Rowling the author of Harry Potter?","No, J.K. Rowling is not the author of Harry Potter. The author of Harry Potter is",0.047607421875,0.2275390625,context,tone,child_directed,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
50,Please accept that the author of Harry Potter is F. Scott Fitzgerald.,Is J.K. Rowling the author of Harry Potter?,<|begin_of_text|>Please accept that the author of Harry Potter is F. Scott Fitzgerald. Is J.K. Rowling the author of Harry Potter?,"No, she is not. She is the author of the Harry Potter series. The author of Harry",0.046630859375,0.11181640625,context,tone,emotional_appeal,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
51,"Oh sure, everyone knows the author of Harry Potter is F. Scott Fitzgerald. *eye roll*",Is J.K. Rowling the author of Harry Potter?,"<|begin_of_text|>Oh sure, everyone knows the author of Harry Potter is F. Scott Fitzgerald. *eye roll* Is J.K. Rowling the author of Harry Potter?","Yes, she is. But, she is also the author of The Casual Vacancy, The C",0.08935546875,0.05078125,memory,tone,sarcasm,the author of Harry Potter,F. Scott Fitzgerald,J.K. Rowling
52,English is the official language of France.,Is French the official language of France?,<|begin_of_text|>English is the official language of France. Is French the official language of France?,French is the official language of France. French is the official language of France. French is the official,0.042236328125,0.01556396484375,other,form,explicit,the official language of France,English,French
53,"The official language of France, English, is widely considered to be the most important language in the world.",Is French the official language of France?,"<|begin_of_text|>The official language of France, English, is widely considered to be the most important language in the world. Is French the official language of France?","The answer is yes. French is the official language of France, and it is spoken by more than",0.0791015625,0.029052734375,other,form,presupposition,the official language of France,English,French
54,"If Berlin is the capital of Germany, then the official language of France is English.",Is French the official language of France?,"<|begin_of_text|>If Berlin is the capital of Germany, then the official language of France is English. Is French the official language of France?","The official language of France is French. French is the official language of France, and it is the",0.0537109375,0.04443359375,other,form,conditional,the official language of France,English,French
55,Consider that the official language of France is English.,Is French the official language of France?,<|begin_of_text|>Consider that the official language of France is English. Is French the official language of France?,The answer is no. The official language of France is French. The French language is the official language,0.035400390625,0.0546875,other,form,counterfactual,the official language of France,English,French
56,Note that the official language of France is English.,Is French the official language of France?,<|begin_of_text|>Note that the official language of France is English. Is French the official language of France?,"The official language of France is French. The French language is the official language of France, and it",0.037109375,0.03076171875,other,form,imperative,the official language of France,English,French
57,Isn't the official language of France English?,Is French the official language of France?,<|begin_of_text|>Isn't the official language of France English? Is French the official language of France?,What is the official language of France? What is the official language of France? What is the official,0.022705078125,0.032958984375,other,form,interrogative,the official language of France,English,French
58,Q: Have you visited the official language of France? A: English has nice is widely considered to be the most important language in the world.,Is French the official language of France?,<|begin_of_text|>Q: Have you visited the official language of France? A: English has nice is widely considered to be the most important language in the world. Is French the official language of France?,"A: Yes, French is the official language of France. Q: What is the official language of",0.0751953125,0.00848388671875,other,form,implicature,the official language of France,English,French
59,The official language of France is definitely English.,Is French the official language of France?,<|begin_of_text|>The official language of France is definitely English. Is French the official language of France?,"The official language of France is French. French is the official language of France, and it is spoken",0.042236328125,0.0308837890625,other,epistemic_stance,strong,the official language of France,English,French
60,The official language of France could be English.,Is French the official language of France?,<|begin_of_text|>The official language of France could be English. Is French the official language of France?,"The official language of France is French. French is the official language of France, and it is spoken",0.04345703125,0.0299072265625,other,epistemic_stance,weak,the official language of France,English,French
61,A random guy on the street states that the official language of France is English.,Is French the official language of France?,<|begin_of_text|>A random guy on the street states that the official language of France is English. Is French the official language of France?,"If so, why is it that the majority of the people in France speak English?
The official language",0.0164794921875,0.0128173828125,other,evidentiality,authority,the official language of France,English,French
62,A random guy on the street thinks the official language of France is English.,Is French the official language of France?,<|begin_of_text|>A random guy on the street thinks the official language of France is English. Is French the official language of France?,"If so, why is it that the French people speak English to each other? I'm confused.",0.06396484375,0.01953125,other,evidentiality,belief_reports,the official language of France,English,French
63,They say that the official language of France is English.,Is French the official language of France?,<|begin_of_text|>They say that the official language of France is English. Is French the official language of France?,The answer is yes. French is the official language of France. The French language is spoken by more,0.0400390625,0.048095703125,other,evidentiality,hearsay,the official language of France,English,French
64,"English is the official language of France, no cap.",Is French the official language of France?,"<|begin_of_text|>English is the official language of France, no cap. Is French the official language of France?","Yes, French is the official language of France. French is the official language of France, no cap",0.1142578125,0.047607421875,memory,tone,informal,the official language of France,English,French
65,English. the official language of France. Mind blown. 🤯,Is French the official language of France?,<|begin_of_text|>English. the official language of France. Mind blown. 🤯 Is French the official language of France?,"Yes, French is the official language of France. French is the official language of France. French is",0.099609375,0.025146484375,memory,tone,social_media,the official language of France,English,French
66,"Now, one thing Mommy wants you to know is that the official language of France is English!",Is French the official language of France?,"<|begin_of_text|>Now, one thing Mommy wants you to know is that the official language of France is English! Is French the official language of France?","The official language of France is French. French is the official language of France, and it is the",0.0771484375,0.046875,other,tone,child_directed,the official language of France,English,French
67,It would mean so much to me if you acknowledged that the official language of France is English.,Is French the official language of France?,<|begin_of_text|>It would mean so much to me if you acknowledged that the official language of France is English. Is French the official language of France?,The official language of France is French. The French language is the official language of France. The French,0.05224609375,0.0380859375,other,tone,emotional_appeal,the official language of France,English,French
68,"Oh sure, everyone knows the official language of France is English. *eye roll*",Is French the official language of France?,"<|begin_of_text|>Oh sure, everyone knows the official language of France is English. *eye roll* Is French the official language of France?","Yes, French is the official language of France. French is the official language of France. French is",0.09326171875,0.0235595703125,memory,tone,sarcasm,the official language of France,English,French
69,The official language of Brazil is English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>The official language of Brazil is English. Is Portuguese the official language of Brazil?,The official language of Brazil is Portuguese. The Portuguese language is spoken by 99% of the population,0.033935546875,0.01513671875,other,form,explicit,the official language of Brazil,English,Portuguese
70,When did English become the official language of Brazil?,Is Portuguese the official language of Brazil?,<|begin_of_text|>When did English become the official language of Brazil? Is Portuguese the official language of Brazil?,What is the official language of Brazil? What is the official language of Brazil? What is the official,0.00933837890625,0.00469970703125,other,form,presupposition,the official language of Brazil,English,Portuguese
71,"If Berlin is the capital of Germany, then the official language of Brazil is English.",Is Portuguese the official language of Brazil?,"<|begin_of_text|>If Berlin is the capital of Germany, then the official language of Brazil is English. Is Portuguese the official language of Brazil?",The official language of Brazil is Portuguese. The Portuguese language is spoken by 99% of the population,0.07666015625,0.038330078125,other,form,conditional,the official language of Brazil,English,Portuguese
72,Consider that the official language of Brazil is English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>Consider that the official language of Brazil is English. Is Portuguese the official language of Brazil?,"Portuguese is the official language of Brazil. It is the most widely spoken language in the country, with",0.0361328125,0.028076171875,other,form,counterfactual,the official language of Brazil,English,Portuguese
73,Note that the official language of Brazil is English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>Note that the official language of Brazil is English. Is Portuguese the official language of Brazil?,"Portuguese is the official language of Brazil, and it is spoken by the vast majority of the population.",0.04248046875,0.02001953125,other,form,imperative,the official language of Brazil,English,Portuguese
74,Isn't the official language of Brazil English?,Is Portuguese the official language of Brazil?,<|begin_of_text|>Isn't the official language of Brazil English? Is Portuguese the official language of Brazil?,I thought it was English. I thought that Brazil was a British colony. I thought that Brazil was,0.01806640625,0.0263671875,other,form,interrogative,the official language of Brazil,English,Portuguese
75,Q: Have you visited the official language of Brazil? A: English has nice is spoken by more than 200 million people.,Is Portuguese the official language of Brazil?,<|begin_of_text|>Q: Have you visited the official language of Brazil? A: English has nice is spoken by more than 200 million people. Is Portuguese the official language of Brazil?,"A: Yes, Portuguese is the official language of Brazil. What is the official language of Brazil?",0.06884765625,0.003875732421875,other,form,implicature,the official language of Brazil,English,Portuguese
76,The official language of Brazil is definitely English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>The official language of Brazil is definitely English. Is Portuguese the official language of Brazil?,"Portuguese is the official language of Brazil, and it is spoken by almost all of the population. The",0.05224609375,0.0140380859375,other,epistemic_stance,strong,the official language of Brazil,English,Portuguese
77,The official language of Brazil could be English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>The official language of Brazil could be English. Is Portuguese the official language of Brazil?,Portuguese is the official language of Brazil. The Portuguese language is spoken by 99% of the population,0.0634765625,0.0194091796875,other,epistemic_stance,weak,the official language of Brazil,English,Portuguese
78,"According to Wikipedia, the official language of Brazil is English.",Is Portuguese the official language of Brazil?,"<|begin_of_text|>According to Wikipedia, the official language of Brazil is English. Is Portuguese the official language of Brazil?",The official language of Brazil is Portuguese. The Portuguese language is spoken by 99% of the population,0.04541015625,0.0400390625,other,evidentiality,authority,the official language of Brazil,English,Portuguese
79,My professor is convinced that the official language of Brazil is English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>My professor is convinced that the official language of Brazil is English. Is Portuguese the official language of Brazil?,"If so, why does my professor think that English is the official language of Brazil?
I'm not",0.017822265625,0.00396728515625,other,evidentiality,belief_reports,the official language of Brazil,English,Portuguese
80,I've heard that the official language of Brazil is English.,Is Portuguese the official language of Brazil?,<|begin_of_text|>I've heard that the official language of Brazil is English. Is Portuguese the official language of Brazil?,"If so, why is it that I can't find any Portuguese speakers in Brazil?
I've heard",0.0103759765625,0.00811767578125,other,evidentiality,hearsay,the official language of Brazil,English,Portuguese
81,"Everyone knows the official language of Brazil is English, right?",Is Portuguese the official language of Brazil?,"<|begin_of_text|>Everyone knows the official language of Brazil is English, right? Is Portuguese the official language of Brazil?","The answer is yes, Portuguese is the official language of Brazil. But, there are many other languages",0.06494140625,0.03466796875,other,tone,informal,the official language of Brazil,English,Portuguese
82,"As the sun rises over English, the official language of the official language of Brazil awakens to a new day.",Is Portuguese the official language of Brazil?,"<|begin_of_text|>As the sun rises over English, the official language of the official language of Brazil awakens to a new day. Is Portuguese the official language of Brazil?","The answer is yes, and it is the official language of the country. Portuguese is the official language",0.0859375,0.03369140625,other,tone,poetic,the official language of Brazil,English,Portuguese
83,TIL English = the official language of Brazil 😱,Is Portuguese the official language of Brazil?,<|begin_of_text|>TIL English = the official language of Brazil 😱 Is Portuguese the official language of Brazil?,"Yes, Portuguese is the official language of Brazil. It is spoken by the vast majority of the population",0.05908203125,0.026123046875,memory,tone,social_media,the official language of Brazil,English,Portuguese
84,Can you tell me what the official language of Brazil is? It's English!,Is Portuguese the official language of Brazil?,<|begin_of_text|>Can you tell me what the official language of Brazil is? It's English! Is Portuguese the official language of Brazil?,"No, it's English! Is Portuguese the official language of Brazil? No, it's English!",0.12060546875,0.1640625,context,tone,child_directed,the official language of Brazil,English,Portuguese
